title,year,certificate,runtime,genre,rating,image
Freddy,2022,UA 16+,124 min,"Drama, Mystery, Thriller            ",7.9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0oLnZu6fX1NxEACa9GxGt7J1bD9b4TUV35MGopPd7lZycY98HDS_7_9C42lQ&s
An Action Hero,2022,U,130 min,Action            ,8.1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTqRBuGMbNEm99zd32sEH1Pqz4wxE93cnzFHGq_3oMH3IwOmgMuf4Sxt07jRUM&s
Kantara,2022,UA,148 min,"Action, Adventure, Drama            ",8.7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjnQ4wW84vSe4OUijeYaxIJOfhBkjXLKo_QWDpWV0N3V6lrR-as8C0NtllBA&s
Khakee: The Bihar Chapter,2022–,UA 13+,45 min,"Action, Crime, Drama            ",8.3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS841kr_xGQehp3y90q6hrTtVCZgMw89swJo6jCGkv79ftsYQnyzdNhOKcNOA&s
Drishyam 2,2022,UA,140 min,"Crime, Drama, Mystery            ",8.6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQWo-wZvv4ycil0GHtE2PvYiRfArAg4pQNVbrMnBwJ0BZIxMuN5hi040ptghg&s
Qala,2022,UA 16+,119 min,"Drama, History, Music            ",7.2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTqzrOOjeJXFLO8d3llbCalneqJtXRRef2Lj9I-2ei2gTDkzut0cMA9pBI0Uw&s
Bhediya,2022,UA,156 min,"Comedy, Horror, Thriller            ",7.7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQsqp2rxp0w_Jcp7vTn-WA-QEQ-hKcqC46J2q46GS6ykodtEpU-QAIMPE16nw&s
Goodbye,I 2022,U,130 min,"Comedy, Drama, Family            ",7.3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW98Y8h6odifogg9v9qYaAXfZ7-g28ux8rCsQ2s34RK4kZqclh60AFNREyww&s
RRR (Rise Roar Revolt),2022,UA,187 min,"Action, Drama            ",8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRW9ngM4hhO2zD5iO0UpT8CxsabBMpDNsNk6yjH0kZQ7WQMJPUPfx2v4uCNwAc&s
India Lockdown,2022,UA,117 min,Drama            ,8.7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR1GR757iPc4ZwyUGIV-SDDYKTW-LP27Im2kLR8Cmmc_oCkURVM0eDgqqkllw&s
Office Christmas Party,2016,R,105 min,Comedy            ,5.9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQARuqa4ug-z88z6yJaSZsAkdL5vJ9u1rKyaDC0DkNvw3pVnjdEVnWi-Wgbus&s
Chup,2022,A,135 min,"Drama, Romance, Thriller            ",7.9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQTmLJNUM9Y61YmkFzFxI2QEtV2T18Nv6006bjKwsNcKGnh2PcVgmfPH2pZOqM&s
Sita Ramam,2022,U,163 min,"Action, Drama, Mystery            ",8.6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR7PLp9S6RCt2iH38ZPRn1VBarDs_d_bJ9ruwEgXsi-SM-TDAtAeIE8ZVHVuEE&s
Brahmastra Part One: Shiva,2022,UA,167 min,"Action, Adventure, Fantasy            ",5.6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQLNyn5Om4JfuZNTyDJtT6Zoe0ZLxO1jKNE604Cqe-I4ScQa5U5LTwZd4NSqg&s
1917,2019,R,119 min,"Action, Drama, War            ",8.2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTT6gRkzsLtoKgoRGngXCfElj6EV9283j11VkmCBElzzPqNbeUSyZJTI_ZZGvE&s
Nazar Andaaz,I 2022,U,103 min,Comedy            ,7.4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQwMKX-YRuVq5Upwm4Z9IOUA_6FilUxM3DUEfjTifwp4OUDEIAKY6X4tGFVf20&s
Love Today,2022,UA,154 min,"Comedy, Drama, Romance            ",8.3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTM-0dCGxpugJVmnzsgrzJd9faMeJYJvdPRBd212IIAGg8N8e84jy8zJow2tw&s
